lat,lon,cams_xco2
-87.5,11.5,415.05487
-87.5,12.5,415.05484
-87.5,13.5,415.0548
-87.5,14.5,415.05475
-87.5,15.5,415.05466
-87.5,16.5,415.05463
-87.5,17.5,415.05463
-87.5,18.5,415.0545
-87.5,19.5,415.0544
-87.5,20.5,415.05435
-87.5,21.5,415.05423
-87.5,22.5,415.0542
-87.5,23.5,415.0541
-87.5,24.5,415.05402
-87.5,25.5,415.0539
-87.5,26.5,415.05377
-87.5,27.5,415.05368
-87.5,28.5,415.05356
-87.5,29.5,415.0254
-87.5,30.5,415.02527
-87.5,31.5,415.02512
-87.5,32.5,415.02505
-87.5,33.5,415.0249
-87.5,34.5,415.02478
-87.5,35.5,415.02466
-87.5,36.5,415.02454
-87.5,37.5,415.0244
-87.5,38.5,415.02426
-87.5,39.5,415.02414
-87.5,40.5,415.02402
-87.5,41.5,415.0238
-87.5,42.5,415.02362
-87.5,43.5,414.99902
-87.5,44.5,414.99884
-87.5,45.5,414.99863
-87.5,46.5,414.99838
-87.5,47.5,414.9983
-87.5,48.5,414.99802
-87.5,49.5,414.9978
-87.5,50.5,414.9976
-87.5,51.5,414.99744
-87.5,52.5,414.99722
-87.5,53.5,414.99695
-87.5,54.5,414.99673
-87.5,55.5,414.99652
-87.5,56.5,414.9963
